GEO.id2,HC01_VC03,HC01_VC27,HC01_VC74,HC01_VC85,HC01_VC86
Id2,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; COMMUTING TO WORK - Workers 16 years and over,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
2564,256,158,100,-,92581
2568,3475,2209,1442,48869,89899
2571,8514,4938,4578,59449,71941
2575,2262,1276,930,92188,105893
2576,4027,2541,1899,84497,97441
2584,10,10,10,-,N
2601,12690,7739,6319,46821,58732
2630,1874,1041,839,106299,155438
2631,8383,4601,4267,69606,97981
2632,8395,5192,4336,80072,91988
2633,3606,1781,1921,76793,131177
2635,2901,1295,1556,62021,102109
2637,110,45,56,142692,193495
2638,2806,1014,1514,70850,93416
2639,2478,1394,1553,44787,62543
2641,182,75,101,-,158387
2642,4512,2172,2446,62143,79094
2643,0,0,0,-,-
2644,3569,2527,1512,92286,97596
2645,8248,4675,4260,78077,96079
2646,1589,662,887,62933,75161
2647,115,65,74,-,107047
2648,5549,3624,2696,82406,91899
2649,12290,6870,6279,73841,91622
2650,807,308,375,77991,87214
2651,0,0,0,-,-
2652,761,444,439,60250,70598
2653,5254,2472,2895,61506,83045
2655,2904,1184,1468,75000,144027
2657,2748,1576,1772,47500,69510
2659,873,517,481,57540,91186
2660,5912,2948,3202,54924,76834
2663,96,27,47,61875,88023
2664,7922,4109,4176,56242,72702
2666,620,300,357,63306,58183
2667,2787,1404,1456,57667,75829
2668,2434,1415,1209,94250,113791
2669,114,84,48,89737,138129
2670,1067,576,661,63675,99473
2671,840,301,456,60000,73420
2672,358,193,135,-,152774
2673,7383,4270,3723,70736,80186
2675,5561,2704,3031,68638,88790
2702,3636,2424,1516,94773,108881
2703,35502,22662,17094,70136,86490
2713,25,8,12,-,154250
2715,2881,1843,1303,98112,108552
2717,3777,2486,1689,81123,96036
2718,5206,3478,2287,93034,108885
2719,13308,7591,6506,62090,79473
2720,25935,14049,13223,47992,59521
2721,20455,10076,10897,33383,46298
2723,11523,6271,6672,37617,50026
2724,14468,7110,7621,37932,52371
2725,2145,955,933,70183,74199
2726,13208,7672,6062,75154,86694
2738,4002,1969,1897,76576,132942
2739,5315,3151,2429,85870,133259
2740,35201,19090,18406,37784,55015
2743,8884,5324,4033,69402,82207
2744,8950,4620,4654,33125,49347
2745,20428,12294,10119,56277,66755
2746,11662,6415,6218,32554,42936
2747,20572,10929,6970,75891,90822
2748,9686,4945,4733,70828,110492
2760,21512,14516,10049,85864,105090
2762,7291,5101,3474,93889,101992
2763,1499,1166,693,106118,115186
2764,3308,2308,1438,82130,92673
2766,16417,11047,6532,102869,113574
2767,11208,7296,4838,93125,105753
2769,9787,6906,4048,96098,120799
2770,4126,2562,1798,102227,123715
