Zip_code,,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14891,"MANSFIELD,OH",194808-201512,12.4,11,7.3,1.8,0,0,0,0,0,0.3,2.5,9,44.3
94830,"TOLEDO,OH",195501-201512,10.9,9.4,5.9,1.4,0,0,0,0,0,0.1,2.6,7.9,38.2
14852,"YOUNGSTOWN,OH",193408-201512,14.5,12.1,9.9,2.4,0.1,0,0,0,0,0.6,5,12.6,57.2
13967,"OKLAHOMA CITY,OK",194801-201512,2.7,2.3,1.3,0,0,0,0,0,0,T,0.6,2,8.9
13968,"TULSA,OK",193812-201512,2.9,2.5,1.8,0,0,0,0,0,0,0,0.6,1.8,9.6
94224,"ASTORIA,OR",195302-201508,2,0.4,0.5,0,0,0,0,0,0,0,0.2,1.1,4.2
94185,"BURNS,OR",198005-199511,7,6.7,3.8,0.7,0.2,0,0,0,0,0.7,6,10.2,35.3
24221,"EUGENE,OR",193806-201509,3.3,1,0.5,0,0,0,0,0,0,0,0.2,1.2,6.2
24225,"MEDFORD,OR",192801-201512,2.7,1.1,0.7,0.2,T,0,0,0,0,0,0.4,1.3,6.4
24155,"PENDLETON,OR",192801-201512,6.2,3.4,0.8,0.1,0,0,0,0,0,0.1,1.6,4.2,16.4
24229,"PORTLAND,OR",193902-201510,3.1,1.2,0.4,0,0,0,0,0,0,0,0.4,1.3,6.4
24232,"SALEM,OR",189301-201509,3,1.6,0.4,T,0,0,0,0,0,0.1,0.2,1.7,7
24235,"SEXTON SUMMIT,OR",194801-200111,21.4,16.4,18.9,9.7,2.3,0.1,0,0,0.1,1.5,8.8,20.2,99.4
14737,"ALLENTOWN,PA",194801-201512,9.2,10.4,5.8,0.6,0,0,0,0,0,0.1,1.2,6,33.3
14860,"ERIE,PA",192601-201512,21.2,15,11.2,2.5,0,0,0,0,0,0.4,9.4,20.1,79.8
14711,"MIDDLETOWN/HARRISBURG,PA",194103-201512,9,9.5,6.2,0.3,0,0,0,0,0,0.1,1,5.8,31.9
13739,"PHILADELPHIA,PA",194801-201512,6.9,7.6,3.5,0.4,0,0,0,0,0,0,0.5,3.6,22.5
94823,"PITTSBURGH,PA",194801-201512,12,10.1,8,1.4,0.1,0,0,0,0,0.3,3.5,8.2,43.6
14777,"AVOCA,PA",194901-201512,11.4,10.7,8.5,2.2,0.1,0,0,0,0,0.4,3.4,8.5,45.2
